"Name","Live Bytes","Live Objects"
"byte[]","4,715,648 B (37.6%)","35,492 (19.7%)"
"int[]","1,865,784 B (14.9%)","3,721 (2.1%)"
"java.util.HashMap$Node","698,816 B (5.6%)","21,838 (12.1%)"
"java.lang.String","633,024 B (5.1%)","26,376 (14.6%)"
"jdk.internal.org.objectweb.asm.Item","430,024 B (3.4%)","7,679 (4.3%)"
"java.lang.Object[]","388,512 B (3.1%)","8,450 (4.7%)"
"java.util.HashMap$Node[]","355,312 B (2.8%)","1,560 (0.9%)"
"java.lang.Class","260,480 B (2.1%)","2,139 (1.2%)"
"char[]","224,816 B (1.8%)","562 (0.3%)"
"jdk.internal.org.objectweb.asm.Item[]","194,960 B (1.6%)","277 (0.2%)"
"java.lang.Class[]","147,984 B (1.2%)","5,366 (3%)"
"java.util.TreeMap$Entry","140,480 B (1.1%)","3,512 (1.9%)"
"java.util.concurrent.ConcurrentHashMap$Node","139,296 B (1.1%)","4,353 (2.4%)"
"java.lang.invoke.MethodType","123,040 B (1%)","3,076 (1.7%)"
"long[]","118,320 B (0.9%)","359 (0.2%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","117,696 B (0.9%)","3,678 (2%)"
"java.lang.reflect.Method","102,080 B (0.8%)","1,160 (0.6%)"
"java.lang.String[]","89,592 B (0.7%)","2,264 (1.3%)"
"java.lang.invoke.MemberName","83,664 B (0.7%)","1,743 (1%)"
"java.lang.StringBuilder","74,784 B (0.6%)","3,116 (1.7%)"
"java.util.LinkedHashMap$Entry","74,040 B (0.6%)","1,851 (1%)"
"jdk.internal.org.objectweb.asm.MethodWriter","73,920 B (0.6%)","330 (0.2%)"
"java.lang.invoke.LambdaForm$Name","65,248 B (0.5%)","2,039 (1.1%)"
"java.util.HashMap","61,488 B (0.5%)","1,281 (0.7%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","48,256 B (0.4%)","124 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","45,376 B (0.4%)","720 (0.4%)"
"java.util.TreeMap","44,448 B (0.4%)","926 (0.5%)"
"java.nio.DirectByteBufferR","32,960 B (0.3%)","515 (0.3%)"
"jdk.internal.org.objectweb.asm.ClassWriter","31,680 B (0.3%)","180 (0.1%)"
"jdk.internal.org.objectweb.asm.Label","29,376 B (0.2%)","459 (0.3%)"
"java.util.HashMap$KeyIterator","26,240 B (0.2%)","656 (0.4%)"
"jdk.internal.org.objectweb.asm.ByteVector","25,344 B (0.2%)","1,056 (0.6%)"
"java.lang.ref.SoftReference[]","22,440 B (0.2%)","330 (0.2%)"
"java.lang.Integer","22,384 B (0.2%)","1,399 (0.8%)"
"jdk.internal.org.objectweb.asm.AnnotationWriter","20,496 B (0.2%)","366 (0.2%)"
"java.lang.invoke.LambdaFormEditor$Transform","19,824 B (0.2%)","354 (0.2%)"
"java.util.ArrayList","19,392 B (0.2%)","808 (0.4%)"
"java.lang.reflect.Constructor","18,480 B (0.1%)","231 (0.1%)"
"java.util.TreeMap$KeyIterator","18,240 B (0.1%)","570 (0.3%)"
"java.util.TreeMap$ValueIterator","18,176 B (0.1%)","568 (0.3%)"
"java.util.ArrayList$Itr","16,544 B (0.1%)","517 (0.3%)"
"java.util.HashMap$EntryIterator","15,880 B (0.1%)","397 (0.2%)"
"java.util.ImmutableCollections$SetN$SetNIterator","15,192 B (0.1%)","633 (0.4%)"
"java.util.stream.ReferencePipeline$Head","14,840 B (0.1%)","265 (0.1%)"
"java.util.ImmutableCollections$Set12$1","14,760 B (0.1%)","615 (0.3%)"
"jdk.internal.org.objectweb.asm.Type","13,792 B (0.1%)","431 (0.2%)"
"javax.management.ImmutableDescriptor","13,632 B (0.1%)","568 (0.3%)"
"java.lang.invoke.ResolvedMethodName","12,744 B (0.1%)","531 (0.3%)"
"jdk.internal.org.objectweb.asm.Frame","12,384 B (0.1%)","258 (0.1%)"
"java.lang.PublicMethods$Key","12,048 B (0.1%)","502 (0.3%)"
"java.lang.PublicMethods$MethodList","12,048 B (0.1%)","502 (0.3%)"
"java.lang.ref.SoftReference","11,800 B (0.1%)","295 (0.2%)"
"java.lang.invoke.MethodTypeForm","11,648 B (0.1%)","208 (0.1%)"
"java.lang.reflect.Method[]","11,528 B (0.1%)","189 (0.1%)"
"java.lang.Class$ReflectionData","10,944 B (0.1%)","171 (0.1%)"
"java.lang.invoke.ClassSpecializer$Factory$1Var","10,656 B (0.1%)","222 (0.1%)"
"java.lang.invoke.LambdaForm$NamedFunction","10,624 B (0.1%)","332 (0.2%)"
"java.util.Optional","10,384 B (0.1%)","649 (0.4%)"
"java.lang.reflect.Field","10,224 B (0.1%)","142 (0.1%)"
"java.util.regex.Matcher","9,936 B (0.1%)","138 (0.1%)"
"java.lang.module.ModuleDescriptor$Exports","9,624 B (0.1%)","401 (0.2%)"
"java.lang.reflect.ProxyGenerator$ConstantPool$IndirectEntry","9,456 B (0.1%)","394 (0.2%)"
"java.util.TreeMap$KeySet","9,120 B (0.1%)","570 (0.3%)"
"java.util.TreeMap$Values","9,088 B (0.1%)","568 (0.3%)"
